User Input,Chatbot Response,Timestamp
Hi can you tell the most famous indian dish,"I'm fine, thank you",2025-01-07 16:31:50
whats the weather today ,"I'm sorry, I cannot provide real-time weather information.",2025-01-07 16:33:03
thank you,You're welcome,2025-01-07 16:33:20
goodbye,Take care,2025-01-07 18:05:40
hey,Hello! How can I assist you?,2025-01-07 18:05:55
bye,See you later,2025-01-07 18:06:11
see you,Hi there!,2025-01-07 18:06:23
What’s the weather like,Itâ€™s sunny and warm today!,2025-01-07 18:07:27
What’s the weather like?,Itâ€™s sunny and warm today!,2025-01-07 18:07:34
hi ,Hello! How can I assist you?,2025-01-07 18:29:29
weather,Itâ€™s sunny and warm today!,2025-01-07 18:29:34
weather,Itâ€™s raining in some areas.,2025-01-07 18:33:30
weather,Itâ€™s raining in some areas.,2025-01-07 18:33:50
weather,Itâ€™s raining in some areas.,2025-01-07 18:35:15
Hi can you tell the most famous indian dish,Hi there!,2025-01-07 18:38:35
Hi can you tell the food,Hello! How can I assist you?,2025-01-07 18:38:47
